AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp
0.75819385,-0.2177906,0.45726347,0.0,0.0,0.0,AGGRESSIVE,818922
0.6675599,-0.03861046,0.23141575,-0.054367006,-0.0077121737,0.22525656,AGGRESSIVE,818923
2.7244492,-7.5841208,2.390926,0.023823744,0.01366811,-0.038026363,AGGRESSIVE,818923
2.33095,-7.6217537,2.5290236,0.05681047,-0.18058704,-0.05207626,AGGRESSIVE,818924
2.8472152,-6.7556214,2.22464,-0.03176499,-0.03520111,0.035277467,AGGRESSIVE,818924
0.44222856,-1.6468334,0.06529236,-0.01038471,-0.024205536,0.0010690142,AGGRESSIVE,818925
0.2383908,0.029413342,0.33282852,0.0012217305,-0.015042556,0.023060163,AGGRESSIVE,818925
0.0434494,0.22891134,0.35466862,0.070249505,0.050320026,0.07742717,AGGRESSIVE,818926
-0.095363855,-0.027441323,-0.039779663,0.040927973,-0.010155635,0.1366811,AGGRESSIVE,818926
0.27051997,-0.07373035,0.0030345917,0.0036651916,-0.0077121737,0.2576324,AGGRESSIVE,818927
0.5129715,0.1584896,0.2572117,0.040927973,-0.005879578,0.33215797,AGGRESSIVE,818927
0.3643882,0.23400217,-0.8731127,0.09040806,0.052763484,0.41218132,AGGRESSIVE,818928
-0.9127637,-0.3456328,0.83376026,0.0580322,-0.02603813,0.3669773,AGGRESSIVE,818929
0.030257344,0.041704893,0.77029896,0.06291912,-0.022983804,0.19837849,AGGRESSIVE,818929
-0.31680942,2.2246227,1.0167103,-0.04337143,0.07047858,0.09636399,AGGRESSIVE,818930
-0.5736394,1.895479,0.25301552,0.002443461,0.019165898,4.5814895E-4,AGGRESSIVE,818930
-0.28935122,-0.04953766,-1.1415176,-0.04153884,-0.048640147,-0.06429356,AGGRESSIVE,818931
0.009707689,-2.3025599,-1.537632,-0.03176499,-0.10667235,-0.06734789,AGGRESSIVE,818931
0.102754354,2.4496293,-0.08904934,0.019547688,2.2907447E-4,-0.08628472,AGGRESSIVE,818932
0.32079172,0.3934636,0.31927872,-0.02443461,-0.0016035213,-0.059406646,AGGRESSIVE,818932
-0.27107072,0.3166343,-0.23188591,-0.0,0.023441954,0.0096211275,AGGRESSIVE,818933
